T1_TM,T2_TM,Reflection_Loss,SR,Radius_nm,OP_port_width_um,Mode_source_TM0
0.513474,0.368433,0.118093,1.393669948,35,1,0
0.504112,0.321222,0.174666,1.569357018,35,1,0
0.401287,0.451602,0.147111,0.888585524,35,1,0
0.480584,0.3452,0.174216,1.392190035,35,1,0
0.418945,0.436271,0.144784,0.960286152,35,1,0
0.407883,0.478495,0.113622,0.85242897,35,1,0
0.398722,0.444724,0.156554,0.896560563,35,1,0
0.416591,0.445107,0.138302,0.935934506,35,1,0
0.357731,0.467652,0.174617,0.764951289,35,1,0
0.474885,0.432843,0.092272,1.097129906,35,1,0
0.453734,0.417764,0.128502,1.086101244,35,1,0
0.448133,0.439027,0.11284,1.020741321,35,1,0
0.516141,0.333244,0.150615,1.548838089,35,1,0
0.434002,0.430977,0.135021,1.007018936,35,1,0
0.433374,0.4669,0.099726,0.928194474,35,1,0
0.461457,0.398169,0.140374,1.158947583,35,1,0
0.473724,0.362788,0.163488,1.305787402,35,1,0
0.459458,0.360241,0.180301,1.2754184,35,1,0
0.46212,0.390428,0.147452,1.183624125,35,1,0
0.460452,0.412213,0.127335,1.117024451,35,1,0
0.421015,0.460792,0.118193,0.913676887,35,1,0
0.431538,0.39275,0.175712,1.098760025,35,1,0
0.387016,0.458834,0.15415,0.843477162,35,1,0
0.543484,0.347727,0.108789,1.562961749,35,1,0
0.47443,0.392681,0.132889,1.208181705,35,1,0
0.446139,0.39371,0.160151,1.133166544,35,1,0
0.530996,0.350387,0.118617,1.515455767,35,1,0
0.345922,0.534146,0.119932,0.647616944,35,1,0
0.427333,0.40584,0.166827,1.052959294,35,1,0
0.42926,0.463597,0.107143,0.925933516,35,1,0
0.45005,0.476688,0.073262,0.944118585,35,1,0
0.46648,0.404387,0.129133,1.153548457,35,1,0
0.423468,0.462711,0.113821,0.915188962,35,1,0
0.396648,0.481934,0.121418,0.823033859,35,1,0
0.529231,0.325861,0.144908,1.62410046,35,1,0
0.419958,0.440486,0.139556,0.95339693,35,1,0
0.413023,0.410574,0.176403,1.00596482,35,1,0
0.382768,0.472037,0.145195,0.810885587,35,1,0
0.451711,0.356353,0.191936,1.267594211,35,1,0
0.36816,0.509102,0.122738,0.723155674,35,1,0
0.429582,0.432376,0.138042,0.993538032,35,1,0
0.47757,0.367641,0.154789,1.299011808,35,1,0
0.404003,0.410136,0.185861,0.985046424,35,1,0
0.394706,0.445601,0.159693,0.88578347,35,1,0
0.470816,0.398361,0.130823,1.181882765,35,1,0
0.374025,0.45593,0.170045,0.820356195,35,1,0
0.415426,0.463212,0.121362,0.896837733,35,1,0
0.455887,0.416363,0.12775,1.094926783,35,1,0
0.506616,0.377523,0.115861,1.341947378,35,1,0
0.335796,0.538658,0.125546,0.623393693,35,1,0
0.500554,0.373005,0.126441,1.34194984,35,1,0
0.460056,0.403238,0.136706,1.140904379,35,1,0
0.477282,0.356271,0.166447,1.339659978,35,1,0
0.44671,0.438148,0.115142,1.019541342,35,1,0
0.509801,0.316615,0.173584,1.610160605,35,1,0
0.42671,0.426798,0.146492,0.999793814,35,1,0
0.392094,0.443381,0.164525,0.884327475,35,1,0
0.394709,0.487634,0.117657,0.809436996,35,1,0
0.477297,0.381752,0.140951,1.250280287,35,1,0
0.391871,0.407612,0.200517,0.961382393,35,1,0
0.380316,0.477814,0.14187,0.795949889,35,1,0
0.469822,0.369472,0.160706,1.271603802,35,1,0
0.455652,0.407072,0.137276,1.119340068,35,1,0
0.554031,0.338857,0.107112,1.634999425,35,1,0
0.433525,0.464378,0.102097,0.933560591,35,1,0
0.451654,0.46536,0.082986,0.970547533,35,1,0
0.448462,0.431705,0.119833,1.038815858,35,1,0
0.374321,0.487248,0.138431,0.768235067,35,1,0
0.503484,0.371383,0.125133,1.35570018,35,1,0
0.34537,0.475308,0.179322,0.726623579,35,1,0
0.40688,0.487655,0.105465,0.834360357,35,1,0
0.472301,0.369944,0.157755,1.276682417,35,1,0
0.340332,0.496914,0.162754,0.684891148,35,1,0
0.449473,0.419072,0.131455,1.07254362,35,1,0
0.387782,0.47374,0.138478,0.818554481,35,1,0
0.438727,0.359907,0.201366,1.21900102,35,1,0
0.449327,0.379103,0.17157,1.185237257,35,1,0
0.409563,0.441725,0.148712,0.927189994,35,1,0
0.430668,0.388344,0.180988,1.108985848,35,1,0
0.395772,0.425363,0.178865,0.930433536,35,1,0
0.381018,0.469685,0.149297,0.811220286,35,1,0
0.513336,0.362953,0.123711,1.414331883,35,1,0
0.454052,0.383827,0.162121,1.182960031,35,1,0
0.470099,0.409814,0.120087,1.14710332,35,1,0
0.390249,0.492971,0.11678,0.791626688,35,1,0
0.427833,0.474732,0.097435,0.901209525,35,1,0
0.373542,0.52002,0.106438,0.718322372,35,1,0
0.359221,0.455087,0.185692,0.789345773,35,1,0
0.602999,0.221202,0.175799,2.726010615,35,1,0
0.370637,0.4785,0.150863,0.774580982,35,1,0
0.468298,0.379146,0.152556,1.23513897,35,1,0
0.504058,0.289844,0.206098,1.739066532,35,1,0
0.462363,0.36575,0.171887,1.264150376,35,1,0
