T1_TM,T2_TM,Reflection_loss,SR,Radius_nm,OP_port_width_um,Mode_source_TM0
0.52803,0.413937,0.058033,1.2756289,35,1,0
0.524481,0.386865,0.088654,1.355720988,35,1,0
0.447401,0.48044,0.072159,0.931231788,35,1,0
0.507338,0.401278,0.091384,1.264305544,35,1,0
0.457562,0.465516,0.076922,0.982913584,35,1,0
0.446569,0.490391,0.06304,0.910638654,35,1,0
0.439973,0.474509,0.085518,0.927217397,35,1,0
0.450305,0.472756,0.076939,0.952510386,35,1,0
0.421219,0.496756,0.082025,0.847939431,35,1,0
0.489708,0.453726,0.056566,1.079303368,35,1,0
0.482248,0.446677,0.071075,1.079634725,35,1,0
0.472866,0.461932,0.065202,1.023670151,35,1,0
0.523432,0.397456,0.079112,1.316955839,35,1,0
0.463923,0.463081,0.072996,1.001818256,35,1,0
0.464581,0.482995,0.052424,0.961875382,35,1,0
0.486294,0.438022,0.075684,1.11020451,35,1,0
0.494778,0.414374,0.090848,1.194037271,35,1,0
0.487235,0.413189,0.099576,1.179206126,35,1,0
0.490616,0.428212,0.081172,1.145731554,35,1,0
0.486703,0.446748,0.066549,1.089435207,35,1,0
0.460619,0.480952,0.058429,0.957723432,35,1,0
0.471934,0.446326,0.08174,1.057375103,35,1,0
0.430373,0.476597,0.09303,0.903012398,35,1,0
0.54302,0.399711,0.057269,1.358531539,35,1,0
0.495663,0.438909,0.065428,1.129306986,35,1,0
0.484299,0.433725,0.081976,1.116603839,35,1,0
0.524153,0.406401,0.069446,1.289743382,35,1,0
0.409471,0.519556,0.070973,0.788117162,35,1,0
0.467069,0.444269,0.088662,1.051320259,35,1,0
0.471116,0.476968,0.051916,0.987730833,35,1,0
0.465806,0.487078,0.047116,0.956327323,35,1,0
0.487628,0.446178,0.066194,1.092900143,35,1,0
0.456794,0.483471,0.059735,0.944821923,35,1,0
0.443442,0.496129,0.060429,0.893803829,35,1,0
0.530769,0.388458,0.080773,1.366348486,35,1,0
0.463134,0.46223,0.074636,1.001955736,35,1,0
0.455137,0.458492,0.086371,0.992682533,35,1,0
0.42524,0.499383,0.075377,0.851530789,35,1,0
0.487505,0.41074,0.101755,1.186894386,35,1,0
0.428658,0.507099,0.064243,0.845314229,35,1,0
0.458058,0.472111,0.069831,0.970233695,35,1,0
0.501465,0.41195,0.086585,1.217295788,35,1,0
0.445786,0.456049,0.098165,0.977495839,35,1,0
0.44017,0.473688,0.086142,0.929240344,35,1,0
0.498275,0.434427,0.067298,1.146970607,35,1,0
0.420315,0.499813,0.079872,0.840944513,35,1,0
0.448302,0.473444,0.078254,0.946895515,35,1,0
0.486187,0.451518,0.062295,1.076783207,35,1,0
0.519613,0.416706,0.063681,1.246953488,35,1,0
0.400989,0.544061,0.05495,0.737029488,35,1,0
0.525807,0.414015,0.060178,1.270019202,35,1,0
0.483682,0.44536,0.070958,1.086047243,35,1,0
0.493632,0.415615,0.090753,1.187714592,35,1,0
0.479935,0.466193,0.053872,1.029477062,35,1,0
0.528276,0.383781,0.087943,1.376503787,35,1,0
0.462753,0.461182,0.076065,1.003406464,35,1,0
0.446013,0.468039,0.085948,0.952939819,35,1,0
0.440912,0.495757,0.063331,0.889371204,35,1,0
0.502586,0.421002,0.076412,1.193785303,35,1,0
0.437093,0.446282,0.116625,0.97940988,35,1,0
0.432252,0.493662,0.074086,0.875603146,35,1,0
0.500547,0.410445,0.089008,1.219522713,35,1,0
0.490859,0.443838,0.065303,1.105941808,35,1,0
0.554991,0.386389,0.05862,1.436353002,35,1,0
0.462498,0.486182,0.05132,0.951285733,35,1,0
0.479842,0.474616,0.045542,1.011011007,35,1,0
0.473183,0.464518,0.062299,1.018653744,35,1,0
0.423608,0.496015,0.080377,0.85402256,35,1,0
0.509053,0.418349,0.072598,1.216814191,35,1,0
0.414074,0.488853,0.097073,0.847031725,35,1,0
0.442001,0.494371,0.063628,0.894067411,35,1,0
0.495774,0.421155,0.083071,1.177177049,35,1,0
0.415807,0.507679,0.076514,0.819035257,35,1,0
0.476703,0.455044,0.068253,1.047597595,35,1,0
0.439362,0.497334,0.063304,0.883434473,35,1,0
0.481107,0.4174,0.101493,1.152628174,35,1,0
0.48551,0.43162,0.08287,1.124855197,35,1,0
0.461,0.465863,0.073137,0.989561309,35,1,0
0.474377,0.43005,0.095573,1.103074061,35,1,0
0.45929,0.45622,0.08449,1.00672921,35,1,0
0.438483,0.48607,0.075447,0.902098463,35,1,0
0.513643,0.41586,0.070497,1.23513442,35,1,0
0.479845,0.437799,0.082356,1.096039507,35,1,0
0.500721,0.441984,0.057295,1.132893951,35,1,0
0.444716,0.497121,0.058163,0.894583009,35,1,0
0.45362,0.492918,0.053462,0.920274772,35,1,0
0.42321,0.527086,0.049704,0.802924001,35,1,0
0.427453,0.491195,0.081352,0.870230764,35,1,0
0.598405,0.299818,0.101777,1.995894176,35,1,0
0.430218,0.485856,0.083926,0.885484588,35,1,0
0.485634,0.435606,0.07876,1.114846903,35,1,0
0.523865,0.369347,0.106788,1.418354555,35,1,0
0.492802,0.415193,0.092005,1.186922708,35,1,0
0.489488,0.449522,0.06099,1.088907773,35,1,0
0.509438,0.427108,0.063454,1.19276155,35,1,0
0.459188,0.466648,0.074164,0.984013646,35,1,0
0.511287,0.405107,0.083606,1.262103592,35,1,0
0.432848,0.483228,0.083924,0.895742796,35,1,0
0.491139,0.445816,0.063045,1.101663018,35,1,0
0.463763,0.430134,0.106103,1.078182613,35,1,0
0.448734,0.479347,0.071919,0.936136035,35,1,0
0.487103,0.455952,0.056945,1.068320788,35,1,0
0.547032,0.376866,0.076102,1.451529191,35,1,0
0.431401,0.471193,0.097406,0.915550528,35,1,0
0.469333,0.456318,0.074349,1.028521776,35,1,0
0.451448,0.497161,0.051391,0.908051919,35,1,0
0.519119,0.412186,0.068695,1.259428996,35,1,0
0.405628,0.503486,0.090886,0.805639084,35,1,0
0.476833,0.45884,0.064327,1.039214105,35,1,0
0.532829,0.393649,0.073522,1.353563708,35,1,0
0.548357,0.347994,0.103649,1.575765674,35,1,0
