T1_TM,T2_TM,Reflection_Loss,SR,Radius_nm,OP_port_width_um,Mode_source_TM0
0.504013,0.353457,0.14253,1.425952803,35,1,0
0.492091,0.299181,0.208728,1.64479362,35,1,0
0.385403,0.437906,0.176691,0.880104406,35,1,0
0.468723,0.326171,0.205106,1.437046825,35,1,0
0.40599,0.422441,0.171569,0.9610572837,35,1,0
0.398119,0.471424,0.130457,0.8445030376,35,1,0
0.385241,0.433189,0.18157,0.8893139022,35,1,0
0.405119,0.433249,0.161632,0.9350719794,35,1,0
0.337247,0.453529,0.209224,0.7436062523,35,1,0
0.469735,0.426361,0.103904,1.101730693,35,1,0
0.442083,0.408686,0.149231,1.081717994,35,1,0
0.440185,0.429758,0.130057,1.024262492,35,1,0
0.512129,0.312158,0.175713,1.640608282,35,1,0
0.424511,0.419076,0.156413,1.012969008,35,1,0
0.423049,0.458137,0.118814,0.9234115559,35,1,0
0.453189,0.382726,0.164085,1.184108213,35,1,0
0.466771,0.343236,0.189993,1.359912713,35,1,0
0.448613,0.341063,0.210324,1.315337636,35,1,0
0.449454,0.379821,0.170725,1.183331095,35,1,0
0.449589,0.400344,0.150067,1.123006714,35,1,0
0.406812,0.449798,0.14339,0.9044326564,35,1,0
0.414832,0.371509,0.213659,1.116613595,35,1,0
0.373973,0.449748,0.176279,0.8315167605,35,1,0
0.541585,0.329526,0.128889,1.64352737,35,1,0
0.462532,0.375852,0.161616,1.230622692,35,1,0
0.43194,0.379445,0.188615,1.138346796,35,1,0
0.532425,0.329632,0.137943,1.615210295,35,1,0
0.323513,0.537875,0.138612,0.6014650244,35,1,0
0.412861,0.389645,0.197494,1.05958244,35,1,0
0.411276,0.456616,0.132108,0.9007043117,35,1,0
0.446529,0.471193,0.082278,0.9476562682,35,1,0
0.459222,0.388381,0.152397,1.182400787,35,1,0
0.411887,0.45376,0.134353,0.9077199401,35,1,0
0.378696,0.473035,0.148269,0.8005665543,35,1,0
0.526048,0.308061,0.165891,1.707609856,35,1,0
0.405314,0.430087,0.164599,0.942400026,35,1,0
0.397457,0.390679,0.211864,1.017349282,35,1,0
0.371423,0.458069,0.170508,0.810845091,35,1,0
0.440797,0.33763,0.221573,1.305562302,35,1,0
0.347406,0.50713,0.145464,0.6850432828,35,1,0
0.419437,0.414413,0.16615,1.012123172,35,1,0
0.469782,0.350265,0.179953,1.341218791,35,1,0
0.388439,0.392869,0.218692,0.9887239767,35,1,0
0.378822,0.433354,0.187824,0.8741629245,35,1,0
0.461324,0.385566,0.15311,1.196485167,35,1,0
0.359573,0.435082,0.205345,0.8264488074,35,1,0
0.404421,0.460801,0.134778,0.877647835,35,1,0
0.444206,0.402977,0.152817,1.10231105,35,1,0
0.499613,0.365123,0.135264,1.368341627,35,1,0
0.313777,0.529429,0.156794,0.5926705942,35,1,0
0.486574,0.358783,0.154643,1.356179083,35,1,0
0.45041,0.384678,0.164912,1.170875381,35,1,0
0.470448,0.335859,0.193693,1.400730664,35,1,0
0.431831,0.426454,0.141715,1.012608628,35,1,0
0.500137,0.29381,0.206053,1.70224635,35,1,0
0.414206,0.411682,0.174112,1.006130946,35,1,0
0.371953,0.432916,0.195131,0.8591805339,35,1,0
0.379621,0.481738,0.138641,0.7880237806,35,1,0
0.465298,0.369593,0.165109,1.258947004,35,1,0
0.377326,0.396111,0.226563,0.9525764243,35,1,0
0.362866,0.46979,0.167344,0.7724004342,35,1,0
0.456238,0.357597,0.186165,1.275844037,35,1,0
0.437643,0.394819,0.167538,1.108464892,35,1,0
0.549859,0.325661,0.12448,1.688439819,35,1,0
0.422139,0.454472,0.123389,0.9288559031,35,1,0
0.441481,0.460929,0.09759,0.9578069507,35,1,0
0.439158,0.418744,0.142098,1.048750549,35,1,0
0.358417,0.483255,0.158328,0.7416726159,35,1,0
0.499855,0.353867,0.146278,1.412550478,35,1,0
0.323182,0.4694,0.207418,0.688500213,35,1,0
0.396169,0.484443,0.119388,0.8177824842,35,1,0
0.46291,0.352993,0.184097,1.311385778,35,1,0
0.314658,0.489687,0.195655,0.6425696414,35,1,0
0.439478,0.403524,0.156998,1.089100029,35,1,0
0.369046,0.4613,0.169654,0.8000130067,35,1,0
0.421348,0.339171,0.239481,1.242287814,35,1,0
0.433915,0.358766,0.207319,1.209465222,35,1,0
0.389796,0.432034,0.17817,0.9022345464,35,1,0
0.41377,0.373973,0.212257,1.106416773,35,1,0
0.371752,0.410838,0.21741,0.904862744,35,1,0
0.362013,0.460586,0.177401,0.785983508,35,1,0
0.5144,0.344575,0.141025,1.492853515,35,1,0
0.442709,0.36353,0.193761,1.217805958,35,1,0
0.451258,0.398365,0.150377,1.132775219,35,1,0
0.36897,0.490395,0.140635,0.7523934787,35,1,0
0.420781,0.465625,0.113594,0.9036907383,35,1,0
0.356096,0.51386,0.130044,0.6929825244,35,1,0
0.331697,0.438624,0.229679,0.7562217298,35,1,0
0.600335,0.20035,0.199315,2.996431245,35,1,0
0.348207,0.476041,0.175752,0.7314643066,35,1,0
0.462606,0.358268,0.179126,1.291228912,35,1,0
0.493987,0.266047,0.239966,1.85676591,35,1,0
0.449801,0.348701,0.201498,1.289933209,35,1,0
0.468532,0.420824,0.110644,1.113368059,35,1,0
0.491206,0.357962,0.150832,1.372229455,35,1,0
0.406238,0.405806,0.187956,1.001064548,35,1,0
0.482698,0.33693,0.180372,1.432635859,35,1,0
0.380165,0.446979,0.172856,0.8505209417,35,1,0
0.477758,0.408371,0.113871,1.169911673,35,1,0
0.4072,0.356927,0.235873,1.140849529,35,1,0
0.39931,0.436728,0.163962,0.9143219578,35,1,0
0.442925,0.430678,0.126397,1.028436558,35,1,0
0.510726,0.28816,0.201114,1.772369517,35,1,0
0.357333,0.432581,0.210086,0.8260487631,35,1,0
0.424704,0.407379,0.167917,1.042527965,35,1,0
0.39221,0.500535,0.107255,0.7835815677,35,1,0
0.50214,0.350806,0.147054,1.431389429,35,1,0
0.315637,0.466019,0.218344,0.6773050026,35,1,0
0.436779,0.417446,0.145775,1.046312577,35,1,0
0.515092,0.324792,0.160116,1.585913446,35,1,0
0.502048,0.253068,0.244884,1.983846239,35,1,0
0.473838,0.324442,0.20172,1.460470593,35,1,0
